datetime,open,high,low,close,volume
2021-06-11,25.15,25.9,24.915,25.81,15613252.0
2021-06-18,26.03,26.29,25.12,25.2,18361372.0
2021-06-25,24.93,26.26,24.93,26.1,15082187.0
2021-07-02,26.25,27.0,25.8,26.12,19477116.0
2021-07-09,25.8,26.28,25.13,25.73,15868091.0
2021-07-16,25.55,25.98,24.21,24.3627,24514419.0
2021-07-23,24.0,24.52,23.43,23.89,26729865.0
2021-07-30,23.91,24.67,23.65,23.7,19527029.0
2021-08-06,23.92,25.48,23.45,24.59,35676946.0
2021-08-13,24.33,25.2,24.1,24.95,19809221.0
2021-08-20,24.52,24.94,23.43,24.35,19452424.0
2021-08-27,24.33,25.37,23.71,23.92,22892765.0
2021-09-03,24.25,24.79,23.765,24.67,19705197.0
2021-09-10,25.0,25.0,23.76,23.77,17979472.0
2021-09-17,24.0,24.845,23.66,24.6,24515911.0
2021-09-24,24.55,24.57,23.37,23.44,18683147.0
2021-10-01,23.97,23.97,22.6,22.9,19330995.0
2021-10-08,22.87,24.46,22.665,24.07,31708985.0
2021-10-15,24.02,24.655,23.72,24.41,24717056.0
2021-10-22,24.45,25.13,23.72,24.93,17707918.0
2021-10-29,24.91,26.295,24.84,25.13,24001965.0
2021-11-05,25.13,26.54,24.5,24.8,24213778.0
2021-11-12,25.0,25.18,23.66,24.72,24425117.0
2021-11-19,24.7095,25.27,24.115,24.58,14959062.0
2021-11-26,24.65,25.18,23.75,23.83,11882555.0
2021-12-03,23.81,24.46,23.1,23.74,30149139.0
2021-12-10,23.72,25.05,23.72,24.43,15723291.0
2021-12-17,24.42,24.7,23.33,24.09,17543223.0
2021-12-24,23.53,24.0,22.74,23.55,15848813.0
2021-12-31,23.68,24.43,23.44,24.3,10977703.0
2022-01-07,24.5,24.7,22.975,23.1,19679130.0
2022-01-14,23.13,23.7,22.65,22.91,19072949.0
2022-01-21,23.36,24.05,22.4601,23.0,21228751.0
2022-01-28,22.75,23.08,21.54,22.14,33486941.0
2022-02-04,21.9399,22.36,21.51,22.09,30317893.0
2022-02-11,21.79,23.0674,21.515,21.61,25046765.0
2022-02-18,21.6,22.14,21.14,21.7,20671113.0
2022-02-25,21.1901,21.34,19.67,21.11,22931720.0
2022-03-04,21.0,22.31,20.5,22.31,34565373.0
2022-03-11,21.7,22.74,21.5,21.8129,28014638.0
2022-03-18,22.21,23.82,21.59,23.58,24474121.0
2022-03-25,23.59,24.5,23.283,24.49,20259161.0
2022-04-01,24.43,26.25,24.25,26.22,23315550.0
2022-04-08,26.1,26.52,24.72,24.72,22594687.0
2022-04-15,24.84,24.96,24.23,24.41,21986368.0
2022-04-22,24.3,25.4494,22.48,22.49,27340590.0
2022-04-29,22.38,22.53,20.37,21.2762,26087092.0
2022-05-06,20.41,22.29,20.09,20.32,32576949.0
2022-05-13,19.35,20.96,19.135,20.24,30666392.0
2022-05-20,20.22,20.9,19.98,20.5,20234251.0
2022-05-27,20.7,22.54,20.46,22.43,17200012.0
2022-06-03,22.39,22.39,21.6,22.27,12413191.0
2022-06-10,22.43,23.69,20.49,20.69,21516026.0
2022-06-17,20.6,20.6,18.62,19.25,36976906.0
2022-06-24,19.6,21.475,19.45,21.19,18507217.0
2022-07-01,21.32,21.86,20.03,21.48,24746093.0
2022-07-08,21.47,21.64,20.605,21.5,15251232.0
2022-07-15,21.5,21.5,18.9,20.46,17882735.0
2022-07-22,20.42,20.78,19.41,19.73,23676544.0
2022-07-29,19.75,22.6,19.375,22.22,22761118.0
2022-08-05,22.22,24.43,21.965,24.0,23230466.0
2022-08-12,24.43,25.005,23.51,24.89,19790893.0
2022-08-19,24.89,26.04,24.71,25.58,21074626.0
2022-08-26,25.5,26.365,24.68,25.63,19193263.0
2022-09-02,25.43,26.675,25.08,26.5,21385079.0
2022-09-09,26.27,27.785,25.78,27.43,22759735.0
2022-09-16,27.85,27.87,25.3701,25.3701,22671781.0
2022-09-23,25.72,26.62,23.57,24.76,15620230.0
2022-09-30,24.22,24.22,22.03,22.6,34099622.0
2022-10-07,23.06,25.61,22.78,24.92,26489741.0
2022-10-14,24.96,25.27,23.24,23.31,20150972.0
2022-10-21,23.67,25.21,23.28,25.21,15392293.0
2022-10-28,24.92,26.48,24.185,26.46,16983294.0
2022-11-04,26.25,27.17,25.5,26.12,19027974.0
2022-11-11,26.71,28.57,26.1,27.99,22252558.0
2022-11-18,27.98,28.07,27.085,27.66,16986984.0
2022-11-25,27.57,29.105,27.52,28.61,11147387.0
2022-12-02,28.5,29.61,27.88,28.67,14060485.0
2022-12-09,28.51,28.97,27.87,28.52,13928033.0
2022-12-16,28.6,30.02,28.02,28.35,16748659.0
2022-12-23,28.32,28.845,27.825,28.68,9731525.0
2022-12-30,28.79,29.065,28.16,28.76,6895307.0
2023-01-06,28.8,29.11,25.685,26.43,22152568.0
2023-01-13,26.34,27.91,26.282,27.86,18475519.0
2023-01-20,27.51,28.18,26.4,26.69,13747444.0
2023-01-27,26.94,27.71,26.4,26.97,21595475.0
2023-02-03,26.75,27.42,26.02,26.02,20663351.0
2023-02-10,25.97,26.57,25.45,26.09,15099573.0
2023-02-17,26.08,26.77,25.98,26.23,11778280.0
2023-02-24,26.05,26.09,24.905,25.32,14507835.0
2023-03-03,25.8,26.41,23.94,25.1,23344916.0
2023-03-10,25.2,25.31,23.175,23.2,17226545.0
2023-03-17,23.28,23.99,22.29,22.39,21826002.0
2023-03-24,22.49,23.255,21.53,22.21,15657865.0
