Сделка 602: Открыта 2020-05-08, Закрыта 2020-05-12, PnL=-479.34, Return=-4480.86%
Сделка 603: Открыта 2020-05-12, Закрыта 2020-05-14, PnL=-1349.39, Return=-13001.93%
Сделка 604: Открыта 2020-05-14, Закрыта 2020-05-18, PnL=1948.40, Return=19798.81%
Сделка 605: Открыта 2020-05-18, Закрыта 2020-05-20, PnL=-181.54, Return=-1658.00%
Сделка 606: Открыта 2020-05-20, Закрыта 2020-05-22, PnL=-838.84, Return=-7744.21%
Сделка 607: Открыта 2020-05-26, Закрыта 2020-05-28, PnL=-180.50, Return=-1669.00%
Сделка 608: Открыта 2020-05-28, Закрыта 2020-06-01, PnL=-475.62, Return=-4421.86%
Сделка 609: Открыта 2020-06-01, Закрыта 2020-06-04, PnL=1797.77, Return=17060.00%
Сделка 610: Открыта 2020-06-10, Закрыта 2020-06-15, PnL=136.64, Return=1315.96%
Сделка 611: Открыта 2020-06-16, Закрыта 2020-06-18, PnL=-611.82, Return=-5334.13%
Сделка 612: Открыта 2020-06-18, Закрыта 2020-06-22, PnL=-181.01, Return=-1604.00%
Сделка 613: Открыта 2020-06-23, Закрыта 2020-06-25, PnL=28.22, Return=245.68%
Сделка 614: Открыта 2020-06-25, Закрыта 2020-06-29, PnL=-102.70, Return=-884.99%
Сделка 615: Открыта 2020-07-06, Закрыта 2020-07-08, PnL=-199.77, Return=-1670.78%
Сделка 616: Открыта 2020-07-08, Закрыта 2020-07-10, PnL=-462.60, Return=-3855.35%
Сделка 617: Открыта 2020-07-13, Закрыта 2020-08-04, PnL=800.80, Return=6532.19%
Сделка 618: Открыта 2020-08-04, Закрыта 2020-08-06, PnL=566.45, Return=4320.27%
Сделка 619: Открыта 2020-08-04, Закрыта 2020-08-26, PnL=-3148.60, Return=-24198.23%
Сделка 620: Открыта 2020-09-08, Закрыта 2020-09-30, PnL=644.47, Return=4367.65%
Сделка 621: Открыта 2020-09-30, Закрыта 2020-10-02, PnL=-572.68, Return=-3731.09%
Сделка 622: Открыта 2020-10-05, Закрыта 2020-10-22, PnL=2250.70, Return=14308.12%
Сделка 623: Открыта 2020-10-05, Закрыта 2020-10-27, PnL=-137.83, Return=-795.78%
Сделка 624: Открыта 2020-10-28, Закрыта 2020-11-06, PnL=1837.55, Return=11139.81%
Сделка 625: Открыта 2020-11-20, Закрыта 2020-12-15, PnL=882.45, Return=5061.50%
Сделка 626: Открыта 2020-12-15, Закрыта 2021-01-08, PnL=-2410.63, Return=-12823.37%
Сделка 627: Открыта 2021-01-26, Закрыта 2021-01-28, PnL=-327.38, Return=-1600.33%
Сделка 628: Открыта 2021-01-28, Закрыта 2021-02-01, PnL=10.65, Return=51.01%
Сделка 629: Открыта 2021-02-02, Закрыта 2021-02-12, PnL=1801.44, Return=8140.00%
Сделка 630: Открыта 2021-02-22, Закрыта 2021-02-25, PnL=-101.07, Return=-437.50%
Сделка 631: Открыта 2021-02-25, Закрыта 2021-03-04, PnL=-181.85, Return=-803.00%
Сделка 632: Открыта 2021-03-04, Закрыта 2021-03-12, PnL=1814.99, Return=8160.00%
Сделка 633: Открыта 2021-03-12, Закрыта 2021-03-16, PnL=-138.26, Return=-566.85%
Сделка 634: Открыта 2021-03-16, Закрыта 2021-03-18, PnL=-617.22, Return=-2584.23%
Сделка 635: Открыта 2021-03-18, Закрыта 2021-03-23, PnL=-182.56, Return=-817.00%
Сделка 636: Открыта 2021-03-23, Закрыта 2021-03-25, PnL=-168.20, Return=-765.70%
Сделка 637: Открыта 2021-03-25, Закрыта 2021-04-16, PnL=1856.34, Return=8269.22%
Сделка 638: Открыта 2021-04-16, Закрыта 2021-04-20, PnL=-231.43, Return=-942.52%
Сделка 639: Открыта 2021-04-20, Закрыта 2021-04-27, PnL=-40.66, Return=-168.80%
Сделка 640: Открыта 2021-04-29, Закрыта 2021-05-03, PnL=-19.10, Return=-79.93%
